Row,Plant Position,Genotype,Skeleton Leaves,Notes
9,361,R,0,
9,362,P,,
9,363,X,0,another large branch broken
9,365,I,,
9,368,B,0,
9,369,Q,0,
9,370,M,0,
9,371,G,0,
9,375,U,4,
9,376,K,0,
9,378,G,0,has a few sucker shoots from base
9,380,T,0,
9,381,K,16,
9,386,U,9,
9,388,Y,,
9,389,V,,
9,390,Z,9,
9,391,B,0,one smaller broken branch
9,392,M,1,
9,393,U,29,
9,394,G,,
9,396,N,13,
9,397,N,0,brown tipped leaves
9,398,E,0,
9,402,P,35,
9,403,D,,
9,404,W,25,
9,405,B,,
10,407,Y,0,
10,408,D,,
10,409,L,0,
10,410,T,,
10,411,P,0,
10,414,N,0,
10,417,F,8,large branch splitting
10,418,M,,
10,419,M,13,
10,423,R,0,
10,425,H,8,
10,428,W,4,
10,429,M,0,
10,433,Z,0,
10,435,L,0,large broken branch
10,436,G,,
10,440,D,12,
10,441,I,0,
10,442,L,9,
10,444,N,0,
10,445,F,0,lots of leaf heterogeneity in their appearance
10,446,Y,0,
10,447,P,19,
10,448,F,0,
10,449,R,0,
11,452,T,0,
11,453,M,0,
11,455,K,,
11,456,V,0,
11,457,F,,
11,458,R,0,
11,459,Q,7,
11,461,V,0,
11,463,A,1,small broken branch
11,464,Z,0,
11,465,G,0,
11,467,P,,
11,470,D,0,
11,471,K,15,
11,472,G,,
11,473,Z,,
11,475,Y,0,
11,478,M,0,
11,479,I,,
11,480,U,,
11,481,A,,
11,482,Z,0,leaves yellowing
11,484,X,0,
11,485,L,0,leaves yellowing
11,488,G,0,
11,490,W,0,
11,493,R,1,
12,497,K,0,
12,499,F,0,lots of leaves yellowing
12,500,I,0,
12,503,S,0,
12,505,F,,
12,506,U,0,very large branch cracking at base
12,508,V,0,
12,509,N,0,
12,513,Y,6,
12,514,E,,
12,516,J,66,
12,517,V,0,one medium sized branch broken off
12,518,S,28,
12,519,*,,
12,520,A,,
12,521,U,0,
12,522,E,0,
12,523,Q,0,
12,525,E,0,leaves yellowing; lots sprouting at base
12,527,E,0,
12,529,Z,15,
12,531,F,0,
12,532,A,0,
12,533,T,,
12,534,G,5,
12,535,L,0,
12,537,R,,
12,538,J,36,
13,542,H,,
13,543,B,,
13,544,V,0,
13,546,M,0,
13,548,X,0,
13,549,S,0,
13,550,S,0,
13,551,K,0,
13,552,W,0,
13,553,B,0,
13,557,Q,27,very chewed up
13,559,J,48,
13,563,S,7,
13,564,J,1,
13,568,G,,
13,569,O,25,
13,570,A,0,large broken branch
13,571,R,,
13,573,R,,
13,575,Q,15,"several sucker shoots, possibly from tag constriction"
13,577,E,0,
13,581,X,0,
13,582,N,,
13,583,M,64,
13,584,L,0,
13,585,J,2,
14,586,Q,0,
14,588,H,,
14,591,X,0,
14,592,S,,
14,593,A,,
14,594,F,0,
14,596,O,4,
14,598,*,0,
14,599,E,0,
14,600,W,0,
14,601,O,,
14,602,F,0,
14,603,G,10,tree looks weird
14,605,K,,
14,606,W,12,
14,607,P,0,
14,608,Q,,
14,610,E,0,
14,612,K,1,
14,615,T,,
14,616,S,0,
14,618,J,27,
14,621,P,16,
14,622,Y,0,
14,625,O,,
14,626,I,0,looks a bit yellower than normal
14,628,X,0,
14,629,U,24,
15,632,E,0,
15,633,H,0,
15,634,W,0,
15,635,O,8,
15,636,I,2,
15,637,L,,
15,640,I,0,
15,641,H,0,
15,643,H,0,
15,644,O,0,
15,645,O,,
15,651,*,0,
15,652,K,0,two broken branches
15,654,D,,
15,655,U,,
15,656,I,0,
15,657,O,0,
15,661,L,0,
15,663,L,0,
15,664,E,12,
15,665,X,,
15,666,Q,,
15,668,P,0,
15,669,D,0,
15,671,H,0,
15,672,A,0,
15,673,G,2,
15,674,D,31,
15,676,K,,
