"","Gender","Genotype","plant.position","shootEst.no18","shootEst.all","galls.found","aSG_aSG.larv","aSG_Tory","rG_Eulo","rG_Lestodip","rG_Mesopol","rG_Platy","rG_rG.larv","rG_Tory","rsLG_Eury","rsLG_Lathro","rsLG_Pont.surv","SG_Platy","SG_SG.larv","vLG_Eulo","vLG_Mesopol","vLG_Mymarid","vLG_Platy","vLG_Tory","vLG_vLG.pupa","aSG_abund","rG_abund","vLG_abund","SG_abund","rsLG_abund","Platy_abund","Tory_abund","Mesopol_abund","Eulo_abund","Lestodip_abund","Eury_abund","Lathro_abund","Mymarid_abund","gall_total_abund","link_abund","link_richness","gall_total_rich","ptoid_total_rich","network_richness","vLG_parasitized","rG_parasitized","rsLG_parasitized","SG_parasitized","aSG_parasitized","vLG_ecto","rG_ecto","vLG_egg","vLG.2011","rsLG.2011","SG","PG","Total_Area","Height","Density","D_mean_smoothed","Trichome.No.","Soluble.condensed.tannins","Insoluble.condensed.tannins","diglucoside.of.SaOH__A220nm","salicin__A220nm","gentisic.acid__A220nm","neochlorogenic.acid__A320nm","p.OH.cinnamic.acid.der1__A320nm","p.OH.cinnamic.acid.der2__A320nm","chlorogenic.acid__A320nm","ampelopsin__A320nm","p.OH.cinnamic.acid__A320nm","salicortin__A270nm","cinnamic.acid.der1__A270nm","ampelopsin.der__A320nm","luteolin.glucoside.5.glu.__A320nm","myricitrin__A320nm","luteolin.glucoside.7.gluc.__A320nm","cinnamic.acid.der2__A270nm","eriodictyol.7.glucoside__A270nm","luteolin.glycoside.der1__A320nm","methylluteolin.glycoside.__A320nm","luteolin.glycoside.der2__A320nm","quercetin.der1__A320nm","luteolin.der1__A320nm","quercetin.der2__A320nm","luteolin.der2__A320nm","cinnamic.acid.der3__A270nm","tremulacin__A220nm","cinnamoyl.salicortin__A270nm","disalicortin__A270nm","HCH.tremulacin.__A220nm","Nitrogen","Carbon","C_N_ratio","water_content","specific_leaf_area","C_imputed","N_imputed","C_N_imputed","sal_tannin.PC1","cinn.PC1","cinn.PC2","flavonOLES.PC1","flavonOLES.PC2","flavanonOLES.PC1","aSG.height.mean","rG.height.mean","rsLG.height.mean","SG.height.mean","vLG.height.mean","aSG.gall.count","rG.gall.count","rsLG.gall.count","SG.gall.count","vLG.gall.count"
"11","f","F","192",198.554251200924,193.19039175034,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,1.21350944191792,1.94727003750043,0.3349,1.7597,0,336.439,75.285,0.283,1.998,0.159,0.438,0.179,0.359,34.801,3.749,0.907,86.104,0.993,5.028,1.141,1.177,2.042,0,11.115,0.52,7.781,0,0,1.178,0,0.777,0.25,44.23,0,0,5.07,NA,NA,NA,1.51107011070111,9.94022140221402,47.827425384,0.8790121316,54.8639562560522,-0.362159806486911,-1.02173525027601,-2.40673089858918,-1.35759333672439,-0.796507757670403,2.19407046774225,NA,NA,5.87,NA,NA,NA,NA,1,NA,NA
"12","f","F","231",337.832370852061,370.72387277127,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,13,0,0,0,3.09530839926794,2.49544146148465,0.4739,1.8392,1.81818181818182,340.403,85.518,0.205,1.157,0,0.558,0.23,0.349,34.933,3.099,0.81,31.551,1.029,4.415,1.668,1.864,2.693,0,9.68,0.717,10.068,0,0,1.487,0,0.959,0,8.199,0,0,0.244,0.871766388,44.52452087,51.0739132442899,1.83233532934132,10.9670658682635,47.827425384,0.8790121316,54.8639562560522,1.04019005220186,-1.41913681367799,-1.65999401103841,-2.49740894270755,-1.32490091117582,1.91298864233163,NA,4.16,NA,NA,NA,NA,3,NA,NA,NA
"13","f","F","233",127.394153035304,112.107452071908,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.776841106639824,1.81538779114439,0.3088,1.6761,1.81818181818182,303.876,76.026,0.277,1.891,0.217,0.416,0.171,0.429,29.518,3.385,0.629,94.421,0.945,5.659,1.562,1.462,2.504,0,12.824,0.62,8.877,0,0,1.509,0,0.833,0.277,46.622,0,0,7.463,NA,NA,NA,1.71974522292994,9.43057324840764,47.827425384,0.8790121316,54.8639562560522,-0.617684534240137,-1.00274057613913,-2.06236976405237,-2.148967243312,-1.05330606104543,2.29670779504396,NA,NA,NA,NA,11.37,NA,NA,NA,NA,1
"14","f","F","257",296.036037364122,315.291373913505,1,0,1,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,2,4,1,2,6,0,4,0,3,0,0,0,1,0,0,13,4,3,4,2,6,2,0,1,0,1,2,0,0,16,1,0,0,2.3337099408562,2.28557666945722,0.4684,1.8209,0,329.706,85.988,0.265,1.65,0.162,0.447,0.194,0.302,33.506,3.081,0.81,53.27,0.786,5.195,1.733,1.492,2.354,0,10.976,0.546,9.188,0,0,1.586,0,1.073,0,20.786,0,0,1.908,NA,NA,NA,1.76744186046512,9.55232558139535,47.827425384,0.8790121316,54.8639562560522,0.159430841216981,-1.35409075544471,-2.15003179518909,-2.52829614965858,-0.771460195481472,2.07991968593897,NA,7.87,6.7275,NA,9.95666666666667,1,2,4,NA,3
"15","f","F","334",165.8150672264,154.888254750424,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1.32259104065247,1.88763632610466,0.3968,1.782,0,338.382,66.903,0.235,1.284,0.227,0.458,0.24,0.413,30.133,3.019,0.681,24.257,0.916,5.647,1.651,1.701,2.765,0,11.434,1.042,10.542,0,0,1.543,0.143,0.951,0,6.892,0,0,0,NA,NA,NA,1.64731182795699,9.18537634408602,47.827425384,0.8790121316,54.8639562560522,1.49073615654095,-1.21402674303833,-2.02126197859366,-2.5210673529761,-1.60635550517087,2.14366520370691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","f","F","499",217.174140341105,215.638049803451,1,0,0,0,0,0,0,15,0,0,0,0,0,0,2,2,0,0,0,0,0,15,4,0,0,0,0,2,2,0,0,0,0,19,4,2,2,2,4,4,0,0,0,0,4,0,0,2,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.81444444444444,NA,NA,NA,NA,9,NA,NA,1
"17","f","G","59",153.806225370539,141.246786362241,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,16,0,0,17,0,1,1,0,0,0,0,0,0,0,18,1,1,2,1,3,1,0,0,0,0,0,0,1,6,0,1,0,2.61355654533077,2.47709262720903,0.4216,1.8325,0,459.711,57.543,0.189,1.106,0,3.761,1.25,0.746,32.339,0.36,0.627,36.59,1.201,2.099,1.964,0.537,1.588,0,4.958,0.332,3.03,0.73,0,0.692,0,0.325,0,11.675,0,0,0.269,NA,NA,NA,1.89261744966443,11.0787472035794,49.346783448,0.956262064,51.8372748822095,1.93546669555077,-0.683903846224147,-0.180843318152671,0.804662059754093,1.33710652161577,0.435143338320216,NA,NA,6.93,NA,9.88727272727273,NA,NA,1,NA,11
"18","f","G","400",111.592879053329,95.3025013155183,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.87295979956392,2.24543859447929,0.4584,1.826,0,331.583,63.087,0.262,1.844,0,2.974,1.027,1.186,31.97,0.32,0.599,80.48,3.3,1.519,2.576,0.578,1.968,0,5.268,0.723,4.298,1.032,0,1.381,0.238,0.75,0.279,37.341,0,0,2.548,NA,NA,NA,1.83609576427256,10.3773480662983,49.346783448,0.956262064,51.8372748822095,0.187599090672861,-0.0733677255287484,-0.472005231212494,-0.858725935280302,1.58763100807715,0.333147766519956,2.84,NA,NA,NA,NA,1,NA,NA,NA,NA
"19","f","G","465",235.369638233952,237.999679852778,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,6,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2.53185384658002,2.64911294854299,0.3906,1.812,0,320.611,45.925,0.289,2.25,0,3.984,1.198,2.137,34.901,0.313,0.59,101.148,4.268,1.395,2.65,0.624,2.101,0,4.53,0.497,3.982,1.023,0,1.668,0,0.839,0.556,60.464,0,0,3.466,NA,NA,NA,1.93736951983299,10.2043841336117,49.346783448,0.956262064,51.8372748822095,0.0392917186855711,0.602106106710416,-0.467399916815352,-1.38099142245334,2.04775756031629,0.235202560173432,NA,7.58666666666667,7.47333333333333,NA,NA,NA,3,3,NA,NA
"20","f","G","469",279.989758500388,294.46373095663,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1.51835188523831,2.45989059507563,0.3109,1.7713,0,298.844,58.009,0.321,3.567,0.135,4.286,1.386,3.087,33.092,0.272,0.561,102.102,4.928,1.647,3.205,0.714,2.411,0.218,6.805,0.664,4.642,1.057,0,1.715,0,0.905,0.915,71.361,0,0,2.865,1.061132073,49.23273849,46.3964286281638,1.63356643356643,8.42811188811189,49.346783448,0.956262064,51.8372748822095,-0.701634144483327,1.49388794137528,-0.792296087649263,-1.99419848619093,1.78357650140893,0.456464656708315,NA,9.16333333333333,NA,NA,12.13,NA,3,NA,NA,1
"21","f","G","472",151.476680974632,138.627779860107,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,2.52978116205823,2.6410853335474,0.433,1.8181,0,416.421,46.85,0.241,0.971,0,4.279,1.332,0.68,34.93,0.275,0.538,24.839,1.138,1.548,3.008,0.695,3.372,0,4.145,0.768,6.57,1.63,0,1.559,0,0.858,0,8.589,0,0,0.227,0.901273847,49.31103516,54.7125996434245,1.675,9.01321428571429,49.346783448,0.956262064,51.8372748822095,2.14965257212082,-0.725631860106983,-0.0365275489063885,-2.20547624053274,0.777365668925398,0.204426022610541,NA,9.55,5.65,NA,NA,NA,1,1,NA,NA
"22","f","G","507",77.2112420400641,60.665926410435,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,347.047,61.514,0.276,1.783,0.078,4.292,1.277,2.522,36.221,0.361,0.592,97.006,5.192,1.968,3.375,0.748,2.557,0,6.762,0.706,4.84,1.158,0,1.985,0,0.979,0.339,57.684,0,0,3.858,0.889086485,49.90017319,56.1252184482368,2.16755319148936,11.751329787234,49.346783448,0.956262064,51.8372748822095,-0.0788333797079546,0.723167951138761,-0.641494528435182,-2.35130789901671,1.89490028949015,0.566223641920843,2,NA,NA,NA,NA,3,NA,NA,NA,NA
"23","f","G","534",279.989758500388,294.46373095663,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,9,0,0,0,1.16663336678475,2.53557953646257,0.2197,1.7967,0,264.561,56.572,0.3,1.851,0,4.491,1.341,1.247,30.794,0.233,0.679,98.437,3.967,1.046,2.75,0.622,2.498,0,3.749,0.608,4.569,1.251,0,1.621,0,0.735,0.297,54.428,0,0,5.849,NA,NA,NA,1.97003745318352,9.74662921348315,49.346783448,0.956262064,51.8372748822095,-0.410451407204203,0.197419863892832,-0.234368534895925,-1.47314840499453,1.59967645863062,0.0258994508237048,4.68,NA,6.81,NA,NA,1,NA,1,NA,NA
"24","f","H","46",139.086005844646,124.853132149946,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,11,0,0,3,1.26064197230601,2.48282663792016,0.2846,1.7623,NA,280.375,51.558,0.235,1.924,0.085,6.582,7.048,0.095,10.883,0,0.646,79.912,0,0.393,2.241,0.69,1.654,0,0.508,0.637,3.262,0.422,0,1.769,0,0.577,0,16.585,0,0,2.206,NA,NA,NA,NA,NA,49.003610992,1.089426303,45.3411144993612,0.570369829045803,-0.549238928633386,2.04419572843165,-0.933471879886325,1.96261074902396,-1.00078219623045,NA,NA,6.96,NA,6.43,NA,NA,1,NA,1
"25","f","H","54",343.821386659906,378.799571404938,1,0,0,0,0,0,0,6,0,0,0,3,0,4,0,0,0,0,0,3,0,6,3,4,3,0,0,0,0,0,0,0,0,16,0,0,4,0,4,0,0,0,0,0,0,0,0,4,0,0,1,1.50131668053612,2.45645018864895,0.3257,1.7577,0,201.052,69.671,0.342,4.085,0.105,4.967,4.963,0.086,7.712,0,0.491,146.193,0,0.252,2.235,0.48,1.801,0,0.435,0.677,3.749,0.588,0,1.678,0,0.573,0,43.733,0,2.869,10.187,NA,NA,NA,2.18151815181518,11.8950495049505,49.003610992,1.089426303,45.3411144993612,-2.44908811957464,-0.76752413256593,2.15752123514616,-1.06924496810799,1.72794540547111,-1.08414216282025,NA,6.46833333333333,6.70666666666667,25.64,10.8366666666667,NA,6,3,1,3
"26","f","H","191",182.345721402902,174.032856747602,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1.86572907653044,2.70530625351208,0.3206,1.787,0.909090909090909,355.701,59.205,0.252,2.304,0.076,7.081,5.787,0.102,11.924,0,0.701,102.116,0,0.415,2.971,0.477,2.573,0,0.519,0.586,4.516,0.665,0,1.764,0,0.542,0,39.322,0,0,5.174,NA,NA,NA,1.69407894736842,10.2595394736842,49.003610992,1.089426303,45.3411144993612,-0.00404872387435512,-0.597388423843688,1.81163121869574,-1.6485073755069,1.10723253322038,-0.989106292777165,NA,NA,7.29,NA,NA,NA,NA,1,NA,NA
"27","f","H","321",312.687784101399,337.176702121881,1,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2,1,2,2,0,3,0,0,0,0,0,0,0,0,8,0,0,4,0,4,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,265.15,78.661,0.269,3.311,0,9.464,7.239,0.089,5.795,0,0.38,146.579,0,0.414,3.155,0.695,2.205,0,0.611,0.874,4.598,0.458,0,2.23,0,0.736,0,67.4,0,1.66,10.128,1.071518779,48.14204788,44.928795298323,2.04484304932735,11.032735426009,49.003610992,1.089426303,45.3411144993612,-2.0998674408399,-0.630573575069168,3.52986269322711,-2.36305875130122,1.58851048462969,-0.964389698731879,2.14,6.4,6.065,NA,11.98,1,2,3,NA,1
"28","f","H","325",261.18323358751,270.396069656915,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3,0,1,4,0,1,0,2,0,0,0,0,0,0,6,2,2,3,1,4,1,1,0,0,0,1,1,0,0,1,0,0,1.13175808242649,2.34406357871076,0.3069,1.758,0,306.425,61.105,0.227,1.758,0,8.74,7.13,0.073,11.021,0.256,0.621,112.972,0.111,0.648,2.489,0.595,1.69,0,0.79,0.521,3.689,0.385,0,2.051,0,0.707,0,55.01,0,0,7.331,NA,NA,NA,1.90990990990991,10.3346846846847,49.003610992,1.089426303,45.3411144993612,-0.305249404204284,-0.562857831484009,2.48985520081074,-1.48411347714271,2.01651011205776,-0.494740207060655,NA,NA,5.56,NA,10.04,NA,1,1,NA,4
"29","f","I","255",195.788338113103,189.895310807941,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,1,7,0,0,9,0,7,1,1,0,0,0,0,0,0,16,2,2,2,2,4,2,0,0,0,0,1,0,1,1,2,0,0,0.978919956582662,2.00575694675398,0.4472,1.7827,1.81818181818182,323.245,46.878,0.371,2.727,0.224,4.682,1.254,0.23,14.709,2.13,0.225,41.817,0.921,2.548,1.415,0.63,3.856,0,8.601,0.703,8.017,0,0,1.658,0,0.67,1.116,13.089,0,0,0.665,1.230738759,47.66141891,38.7258616513596,1.52173913043478,11.4384057971014,48.565077972,1.144735384,42.7304085123588,0.823180064202607,-0.0985491783305674,0.513462790044104,-2.50557692342717,-1.65224223676143,1.38509075594835,NA,NA,5.69142857142857,NA,10.4275,NA,NA,7,NA,4
