Variable,Description,Notes
vLG_ecto,"number of larval ectoparasitoids emerging from I. salicisverruca larva (sum vLG_Mesopol, vLG_Tory, vLG_Eulo)",Not used in analysis for this manuscript
rG_ecto,"number of larval ectoparasitoids emerging from R. salicisbrassicoides larva (sum rG_Mesopol, rG_Tory, rG_Eulo)",Not used in analysis for this manuscript
vLG_egg,"number of egg parasitoids emerging from I. salicisverruca larva (sum vLG_Platy, vLG_Mymarid)",Not used in analysis for this manuscript
vLG.2011,"total abundance of I. salicisverruca galls found on a willow tree during survey in 2011 (methods in Barbour et al. 2015, Functional Ecology 29(8): 995-1006. http://dx.doi.org/10.1111/1365-2435.12409)",Not used in analysis for this manuscript
rsLG.2011,"total abundance of P. californica galls found on a willow tree during survey in 2011 (methods in Barbour et al. 2015, Functional Ecology 29(8): 995-1006. http://dx.doi.org/10.1111/1365-2435.12409)",Not used in analysis for this manuscript
SG,"total abundance of R. salicisbattatus galls found on a willow tree during survey in 2011 (methods in Barbour et al. 2015, Functional Ecology 29(8): 995-1006. http://dx.doi.org/10.1111/1365-2435.12409)",Not used in analysis for this manuscript
PG,"total abundance of unknown petiole galls found on a willow tree during survey in 2011 (methods in Barbour et al. 2015, Functional Ecology 29(8): 995-1006. http://dx.doi.org/10.1111/1365-2435.12409)",Not used in analysis for this manuscript
Total_Area : flavanonOLES.PC1,"Methodological details for all plant traits is given in Barbour MA, Rodriguez-Cabal MA, Wu ET, Julkunen-Tiitto R, Ritland CE, Miscampbell AE, Jules ES, Crutsinger GM (2015) Multiple plant traits shape the genetic basis of herbivore community assembly. Functional Ecology 29(8): 995-1006. http://dx.doi.org/10.1111/1365-2435.12409",
,"Data description of plant traits is also given in Barbour MA, Rodriguez-Cabal MA, Wu ET, Julkunen-Tiitto R, Ritland CE, Miscampbell AE, Jules ES, Crutsinger GM (2015) Data from: Multiple plant traits shape the genetic basis of herbivore community assembly. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.b1296
",
aSG.height.mean,Branch-level average of the maximum diameter of apical-stem galls ,
rG.height.mean,Branch-level average of the maximum diameter of R. salicisbrassicoides galls,
rsLG.height.mean,Branch-level average of the maximum diameter of P. californica galls,
SG.height.mean,Branch-level average of the maximum diameter of R. salicisbattatus galls,
vLG.height.mean,Branch-level average of the maximum diameter of I. salicisverruca galls,
aSG.gall.count,Number of galls used to estimate the branch-level average of maximum diameter of apical-stem galls.,
rG.gall.count,Number of galls used to estimate the branch-level average of maximum diameter of R. salicisbrassicoides galls.,
rsLG.gall.count,Number of galls used to estimate the branch-level average of maximum diameter of P. californica galls.,
SG.gall.count,Number of galls used to estimate the branch-level average of maximum diameter of R. salicisbattatus galls.,
vLG.gall.count,Number of galls used to estimate the branch-level average of maximum diameter of I. salicisverruca galls.,
